,decay,time,log_decay,log_time
1,8360,0,9.031213706,0
2,2060,7,7.630461262,1.945910149
3,2420,78,7.791522819,4.356708827
4,800,78,6.684611728,4.356708827
5,2760,136,7.922985959,4.912654886
6,5140,335,8.544808358,5.814130532
7,2820,383,7.944492164,5.948034989
8,160,432,5.075173815,6.068425588
9,1020,593,6.927557906,6.385194399
10,180,595,5.192956851,6.388561406
11,2580,609,7.855544678,6.411818268
12,12840,765,9.460320577,6.639875834
13,1100,839,7.003065459,6.732210706
14,620,912,6.429719478,6.81563999
15,200,927,5.298317367,6.831953566
16,6300,943,8.748304912,6.849066283
17,1980,959,7.590852124,6.865891075
18,1640,1063,7.402451521,6.968850378
19,2780,1563,7.930206207,7.35436233
20,680,1565,6.522092798,7.355641103
21,140,1618,4.941642423,7.388946098
22,1100,1638,7.003065459,7.401231264
23,220,1667,5.393627546,7.418780883
24,2760,1734,7.922985959,7.458186157
25,4380,1824,8.384804003,7.508787171
26,980,1886,6.887552572,7.542213463
27,11920,1936,9.385972941,7.568379268
28,3300,2032,8.101677747,7.616775809
29,520,2054,6.253828812,7.62754439
30,2940,2204,7.98616486,7.69802917
31,400,2212,5.991464547,7.701652363
32,3300,2262,8.101677747,7.724004657
33,4520,2336,8.416267273,7.756195344
34,1440,2406,7.272398393,7.785720897
35,700,2570,6.551080335,7.851661178
36,580,2613,6.363028104,7.868254266
37,3020,2642,8.01301211,7.879291485
38,200,2665,5.298317367,7.887959337
39,5080,2675,8.533066541,7.891704659
40,160,2702,5.075173815,7.901747519
41,2720,2849,7.908387159,7.954723334
42,2080,2976,7.640123173,7.998335396
43,640,2992,6.461468176,8.003697339
44,40,3034,3.688879454,8.01763716
45,2160,3081,7.677863501,8.033009499
46,820,3207,6.70930434,8.0730912
47,6940,3392,8.845057054,8.129174997
48,7780,3451,8.959311617,8.146419323
49,340,3475,5.828945618,8.153349758
50,980,3623,6.887552572,8.195057691
51,2380,3719,7.774855767,8.221210094
52,320,3813,5.768320996,8.24617156
53,240,3868,5.480638923,8.260492857
54,2440,3902,7.799753318,8.269244521
55,1840,3969,7.517520851,8.286269453
56,200,4000,5.298317367,8.29404964
57,820,4025,6.70930434,8.30028019
58,2940,4036,7.98616486,8.303009381
59,6760,4201,8.818778169,8.343077871
60,120,4250,4.787491743,8.354674262
61,640,4305,6.461468176,8.367532417
62,1380,4330,7.229838778,8.373322821
63,480,4374,6.173786104,8.383433201
64,3160,4484,8.058327307,8.408270784
65,1760,4617,7.473069088,8.437500423
66,5080,4649,8.533066541,8.444407422
67,4000,4749,8.29404964,8.465689349
68,2240,4771,7.714231145,8.470311206
69,1400,4780,7.244227516,8.472195825
70,4900,4824,8.496990484,8.481358738
71,6600,4928,8.794824928,8.502688505
72,1540,4973,7.339537695,8.511778559
73,1660,5011,7.414572881,8.519390775
74,1860,5136,7.528331767,8.544029845
75,1080,5211,6.98471632,8.558527055
76,1320,5295,7.185387016,8.574518258
77,12840,5321,9.460320577,8.579416535
78,460,5367,6.131226489,8.588024372
79,480,5446,6.173786104,8.602636673
80,2460,5634,7.807916629,8.636574948
81,1700,5667,7.43838353,8.642415156
82,2280,5697,7.731930722,8.647694999
83,2560,5700,7.847762537,8.648221454
84,1200,5782,7.090076836,8.662504923
85,1620,5852,7.390181428,8.674538762
86,7260,5878,8.890135108,8.678971847
87,1760,5879,7.473069088,8.679141958
88,3300,5908,8.101677747,8.684062644
89,760,5950,6.633318433,8.691146499
90,1440,5985,7.272398393,8.697011618
91,7080,6014,8.865029187,8.701845364
92,2220,6021,7.705262475,8.703008637
93,400,6148,5.991464547,8.723882105
94,1580,6251,7.365180126,8.74049673
95,4440,6347,8.398409655,8.755737539
96,3680,6396,8.210668031,8.763428074
97,740,6420,6.606650186,8.767173397
98,1140,6468,7.038783541,8.774622221
99,140,6470,4.941642423,8.774931387
100,40,6476,3.688879454,8.775858315
101,4920,6628,8.501063809,8.799058379
102,5440,6734,8.60153434,8.8149246
103,780,6880,6.65929392,8.836373931
104,7820,6891,8.964439834,8.837971491
105,2660,6899,7.886081402,8.839131753
106,2760,6952,7.922985959,8.846784667
107,240,7005,5.480638923,8.854379459
108,3500,7024,8.160518247,8.857088135
109,300,7175,5.703782475,8.878358041
110,680,7207,6.522092798,8.882808055
111,180,7237,5.192956851,8.886962035
112,4200,7243,8.342839804,8.887790764
113,580,7255,6.363028104,8.889446165
114,2920,7315,7.979338895,8.897682313
115,60,7455,4.094344562,8.916640227
116,5420,7500,8.597851094,8.9226583
117,5440,7510,8.60153434,8.923990745
118,3020,7555,8.01301211,8.929964875
119,1240,7557,7.122866659,8.930229565
120,9560,7601,9.165343006,8.936035097
121,6780,7623,8.821732381,8.938925272
122,260,7644,5.560681631,8.941676305
123,1500,7675,7.313220387,8.945723572
124,4500,7800,8.411832676,8.961879013
125,2740,7828,7.915713199,8.965462329
126,1860,7918,7.528331767,8.976893928
127,820,8041,6.70930434,8.992308733
128,300,8086,5.703782475,8.99788945
129,7800,8089,8.961879013,8.998260393
130,5340,8119,8.582980932,9.001962273
131,1980,8225,7.590852124,9.014933576
132,1340,8242,7.200424893,9.016998312
133,460,8308,6.131226489,9.024974185
134,240,8314,5.480638923,9.02569612
135,1380,8316,7.229838778,9.025936649
136,5420,8330,8.597851094,9.027618735
137,3640,8351,8.199738961,9.030136571
138,160,8396,5.075173815,9.035510681
139,12640,8432,9.444621668,9.039789271
140,3960,8734,8.283999304,9.074978734
141,800,8835,6.684611728,9.086476385
142,13500,8851,9.510444964,9.088285726
143,1920,8877,7.560080465,9.091218941
144,100,8921,4.605170186,9.096163327
145,1980,8974,7.590852124,9.102086787
146,280,9007,5.634789603,9.105757332
147,740,9023,6.606650186,9.107532152
148,1260,9192,7.138867,9.12608882
149,1120,9296,7.021083964,9.137339479
150,2280,9366,7.731930722,9.14484139
151,2880,9385,7.965545573,9.146867949
152,2920,9391,7.979338895,9.147507063
153,2520,9403,7.832014181,9.148784066
154,640,9554,6.461468176,9.164715194
155,280,9580,5.634789603,9.167432871
156,820,9664,6.70930434,9.17616292
157,1100,9666,7.003065459,9.176369852
158,140,9676,4.941642423,9.177403872
159,560,9728,6.327936784,9.182763604
160,2460,9768,7.807916629,9.186867016
161,4640,9811,8.442469645,9.191259484
162,5900,9825,8.68270763,9.192685437
163,840,9927,6.733401892,9.203013597
164,1300,9971,7.170119543,9.207436159
165,2520,10029,7.832014181,9.213236175
166,1140,10041,7.038783541,9.21443199
167,100,10046,4.605170186,9.214929824
168,4520,10080,8.416267273,9.218308542
169,6880,10131,8.836373931,9.223355309
170,340,10289,5.828945618,9.238830642
171,4340,10517,8.375629627,9.260748275
172,3040,10520,8.019612794,9.261033486
173,1220,10714,7.106606138,9.279306576
174,1460,10723,7.286191715,9.280146246
175,3680,10823,8.210668031,9.289428778
176,2440,10833,7.799753318,9.29035231
177,8700,10869,9.071078305,9.29366998
178,1780,11089,7.484368643,9.313708905
179,2260,11177,7.723120092,9.321613374
180,6780,11300,8.821732381,9.332558005
181,6920,11356,8.842171049,9.337501518
182,1440,11540,7.272398393,9.35357454
183,2440,11542,7.799753318,9.353747835
184,500,11628,6.214608098,9.361171262
185,900,11854,6.802394763,9.380420642
186,900,11890,6.802394763,9.38345299
187,4260,11905,8.357024439,9.384713759
188,4040,11997,8.303999971,9.392411898
189,9440,12057,9.152711259,9.397400683
190,8980,12138,9.102755161,9.404096306
191,500,12152,6.214608098,9.405249044
192,1120,12235,7.021083964,9.412055976
193,6320,12260,8.751474487,9.414097209
194,1600,12272,7.377758908,9.415075524
195,2180,12373,7.687080156,9.423271958
196,220,12390,5.393627546,9.424644975
197,1840,12449,7.517520851,9.429395577
198,8440,12596,9.040737588,9.441134582
199,220,12620,5.393627546,9.443038136
200,6740,12642,8.815815204,9.444779883
201,80,12671,4.382026635,9.447071197
202,720,12695,6.579251212,9.448963494
203,220,12705,5.393627546,9.449750896
204,2180,12935,7.687080156,9.467692095
205,720,12974,6.579251212,9.470702634
206,940,13080,6.845879875,9.478839625
207,1280,13227,7.154615357,9.490015474
208,1400,13302,7.244227516,9.495669679
209,2480,13351,7.816013839,9.499346567
210,560,13366,6.327936784,9.500469448
211,1200,13530,7.090076836,9.512664721
212,420,13657,6.040254711,9.52200749
213,1380,13693,7.229838778,9.524640032
214,60,13799,4.094344562,9.532351405
215,540,13911,6.29156914,9.540435173
216,7260,14102,8.890135108,9.55407191
217,2320,14124,7.749322465,9.555630757
218,5180,14203,8.552560335,9.561208489
219,200,14203,5.298317367,9.561208489
220,860,14282,6.756932389,9.566755282
221,600,14427,6.396929655,9.57685673
222,6700,14599,8.809862805,9.588708312
223,2600,14639,7.863266724,9.591444479
224,980,14667,6.887552572,9.593355351
225,320,14894,5.768320996,9.608713726
226,2700,14897,7.901007052,9.608915129
227,16680,14944,9.721965676,9.61206516
228,1520,15143,7.326465614,9.625293658
229,1640,15148,7.402451521,9.625623789
230,440,15150,6.086774727,9.625755811
231,2120,15423,7.659171368,9.643615181
232,3060,15468,8.026170195,9.646528653
233,4780,15691,8.472195825,9.660842579
234,1120,15700,7.021083964,9.661415991
235,220,15722,5.393627546,9.662816284
236,1020,15823,6.927557906,9.669219857
237,60,16015,4.094344562,9.681281062
238,2360,16072,7.766416898,9.684833906
239,660,16143,6.492239835,9.689241798
240,4820,16256,8.480529207,9.69621735
241,3420,16258,8.13739583,9.696340374
242,2900,16264,7.972466016,9.696709355
243,340,16337,5.828945618,9.701187753
244,880,16337,6.779921907,9.701187753
245,1000,16380,6.907755279,9.703816357
246,1600,16400,7.377758908,9.705036614
247,120,16488,4.787491743,9.710388123
248,400,16525,5.991464547,9.712629665
249,4680,16590,8.451053389,9.716555383
250,3460,16624,8.149023868,9.718602713
251,2740,16649,7.915713199,9.720105434
252,940,16707,6.845879875,9.723583072
253,1580,16739,7.365180126,9.725496605
254,840,16925,6.733401892,9.736547098
255,1060,17155,6.966024187,9.750044955
256,800,17311,6.684611728,9.759097417
257,700,17323,6.551080335,9.759790377
258,760,17409,6.633318433,9.764742593
259,940,17416,6.845879875,9.765144603
260,3300,17440,8.101677747,9.766521697
261,340,17497,5.828945618,9.769784717
262,1740,17657,7.461640392,9.778887584
263,380,17685,5.940171253,9.780472102
264,3900,17751,8.268731832,9.784197131
265,200,17767,5.298317367,9.785098083
266,180,17785,5.192956851,9.786110684
267,4340,17914,8.375629627,9.793337809
268,580,18011,6.363028104,9.798737961
269,260,18133,5.560681631,9.805488762
270,12900,18154,9.46498259,9.806646201
271,2300,18327,7.740664402,9.816130661
272,760,18332,6.633318433,9.816403446
273,1280,18364,7.154615357,9.818147505
274,2240,18454,7.714231145,9.823036428
275,560,18488,6.327936784,9.824877152
276,1660,18541,7.414572881,9.827739775
277,6840,18660,8.830543011,9.834137474
278,920,18684,6.82437367,9.835422822
279,400,18706,5.991464547,9.836599607
280,540,18741,6.29156914,9.838468916
281,1500,18823,7.313220387,9.842834805
282,4520,18948,8.416267273,9.849453664
283,240,18996,5.480638923,9.85198371
284,1960,19060,7.580699752,9.855347177
285,640,19132,6.461468176,9.859117605
286,2920,19141,7.979338895,9.85958791
287,580,19255,6.363028104,9.865526046
288,220,19281,5.393627546,9.866875434
289,1300,19373,7.170119543,9.871635623
290,2220,19538,7.705262475,9.880116566
291,2440,19544,7.799753318,9.880423613
292,1240,19586,7.122866659,9.882570304
293,500,19586,6.214608098,9.882570304
294,4860,19619,8.488793717,9.884253763
295,2740,19649,7.915713199,9.885781725
296,1900,19753,7.549609165,9.891060658
297,1660,19877,7.414572881,9.897318563
298,3040,19928,8.019612794,9.899881057
299,6740,19974,8.815815204,9.902186707
300,7280,20065,8.892886141,9.906732283
301,5080,20091,8.533066541,9.908027233
302,2240,20183,7.714231145,9.912595945
303,1440,20183,7.272398393,9.912595945
304,3020,20337,8.01301211,9.920197166
305,1040,20486,6.946975992,9.927497005
306,7140,20499,8.873468055,9.928131383
307,780,20553,6.65929392,9.930762195
308,860,20555,6.756932389,9.930859499
309,3900,20611,8.268731832,9.933580193
310,9600,20713,9.169518377,9.938516801
311,2820,20716,7.944492164,9.938661628
312,9140,20815,9.120415664,9.94342916
313,1340,20863,7.200424893,9.945732534
314,3520,20914,8.166216269,9.94817407
315,480,20964,6.173786104,9.95056196
316,4140,20975,8.328451067,9.951086531
317,1580,21129,7.365180126,9.958401783
318,2880,21145,7.965545573,9.95915875
319,2600,21169,7.863266724,9.960293126
320,960,21174,6.866933284,9.960529293
